-120	488	458	244	-310
215	-235	-493	-67	424
-305	435	-415	49	331
-416	-369	-349	-472	-278
388	466	-353	-295	-150
474	401	438	301	27
159	263	-300	-494	252
299	245	75	93	-168
-495	-373	403	-450	4
87	121	-440	177	-454
94	468	130	328	213
292	263	210	-239	463
185	-186	422	148	-46
161	489	335	293	499
385	-44	419	233	121
141	-299	344	368	-205
320	255	-204	-317	448
48	-238	266	418	239
190	-196	-354	56	477
-466	-429	-452	-252	317
-131	65	-308	47	295
388	-382	-102	300	-158
440	-97	-86	162	29
-400	-127	-53	434	383
225	-293	-489	381	-296
-254	297	-313	-118	-387
-14	-414	375	-362	173
317	404	202	-250	-250
-237	462	239	313	-115
-262	-259	336	-190	106
-463	-246	67	440	358
38	356	-441	-478	47
288	-46	-290	200	-46
210	273	-81	-75	-450
-203	-84	70	-249	-223
-424	-435	-259	-86	435
-279	-74	-160	282	-445
-417	264	-312	232	200
407	278	-433	-112	-152
-193	-99	103	-214	115
222	-472	102	349	-82
322	-216	265	-474	-415
-424	149	-80	215	-271
-351	-415	363	-299	-208
-214	283	292	-58	199
184	418	-128	-66	-153
289	216	-168	-297	-384
-321	-403	-45	334	-32
367	285	-122	405	-337
298	-106	-80	-194	239
477	-445	-175	263	-363
-485	151	64	214	-497
-384	38	298	395	486
214	276	-207	139	357
306	-226	-51	-199	-83
-123	-422	-324	-97	-64
147	356	-395	340	-204
-406	171	463	8	328
-258	460	401	-372	-21
-405	462	87	182	426
44	488	209	425	-346
383	134	303	-439	-479
-47	-128	18	213	367
226	-443	379	71	-435
478	-317	-223	-262	497
-3	-213	397	350	176
-43	47	9	-170	-486
185	-31	-322	-203	277
129	-283	483	276	-376
-319	-162	88	-141	-155
-253	-127	412	185	34
471	44	-245	-249	-458
120	-187	127	-72	208
132	401	175	339	-136
63	454	184	-308	-207
-28	-235	-321	314	-325
-361	214	221	-219	-79
234	-370	-388	-39	212
318	180	-292	-172	491
272	-458	-116	-78	-63
-81	170	495	-204	232
229	-264	-490	101	-428
53	-110	-360	81	-251
23	258	-59	-220	-458
-442	268	76	-239	-454
-365	-277	443	196	58
-34	-90	-6	103	-329
-100	-135	-331	-469	-198
140	-438	-25	90	202
-4	427	24	357	291
-386	-491	29	-381	-214
-281	-395	344	417	141
-46	-433	241	53	-486
200	-164	75	-312	269
52	27	348	-218	399
215	-59	-83	-61	-132
213	275	-100	-39	-442
-109	-268	275	447	421
-354	300	-47	-327	2
317	-25	150	116	-134
